ID_Cliente,Tem_carro,Tem_casa_propria,Tem_telefone_trabalho,Tem_telefone_fixo,Tem_email,Tamanho_familia,Rendimento_anual,Idade,Anos_empregado,Categoria_de_renda,Grau_escolaridade,Estado_civil,Moradia,Ocupacao,Mau
5061203,0,0,0,0,1,4.0,270000.0,29.856875911209674,5.128099824089475,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5105951,0,0,1,0,0,2.0,184500.0,40.32389439892674,0.8295858231175178,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5105948,0,0,0,0,0,2.0,72000.0,26.467347036557904,3.663319575350623,Empregado,Ensino superior,Casado,Casa/apartamento próprio,Equipe principal,0
5142971,0,0,1,1,0,3.0,180000.0,29.175137066469535,2.535301888471358,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5116563,0,0,0,0,0,1.0,135000.0,45.156300266261454,25.33932934967864,Servidor público,Ensino superior,Divorciado,Casa/apartamento próprio,Equipe principal,0
5145866,0,0,0,0,0,3.0,180000.0,38.6647227526917,2.179373977562852,Associado comercial,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5062307,0,0,0,1,0,2.0,270000.0,54.20508292435847,12.542351999014354,Associado comercial,Ensino médio,Casado,Casa/apartamento próprio,Outro,0
5116813,0,0,0,0,0,2.0,112500.0,50.28166218334394,1.9192728118989437,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Alta tecnologia,0
5113905,0,0,0,1,0,2.0,225000.0,52.359733601648216,13.864761083389803,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5148828,0,0,1,1,0,3.0,225000.0,39.308130899334,8.542269861804144,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Vendas,0
5143283,0,0,0,0,0,2.0,135000.0,58.47621785526054,0.0,Pensionista,Ensino médio,Casado,Casa/apartamento próprio,Outro,0
5062292,1,1,0,0,1,2.0,225000.0,48.72105518936049,6.7078721671218435,Empregado,Ensino superior,Casado,Casa/apartamento próprio,Gerência,0
5068175,1,1,0,0,1,4.0,112500.0,36.40047365791221,6.718823795149798,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Vendas,0
5022878,1,1,0,0,0,4.0,225000.0,38.60448879853796,9.919437086319363,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Serviço privado,0
5105315,0,0,0,0,0,1.0,202500.0,33.391513857231836,6.0726777415005095,Associado comercial,Ensino superior,Solteiro,Cooperativa habitacional,Contabilidade,0
5046224,0,0,0,0,0,2.0,112500.0,62.39142487525411,0.0,Pensionista,Ensino médio,Casado,Casa/apartamento próprio,Outro,0
5008957,1,1,0,0,0,2.0,135000.0,48.69367611929061,4.687296795964325,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5148907,0,0,0,0,0,2.0,135000.0,59.34961019048988,10.959841748974997,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Construção Civil,0
5022030,1,1,1,0,1,3.0,315000.0,40.70720137990513,8.249313812056373,Associado comercial,Ensino médio,Casado,Casa/apartamento próprio,Segurança,0
5042310,0,0,0,0,0,4.0,157500.0,39.41217136559957,14.51090713703909,Servidor público,Ensino superior,Casado,Casa/apartamento próprio,Contabilidade,0
5023146,0,0,0,0,0,1.0,112500.0,57.86566459270211,0.0,Pensionista,Ensino médio,Solteiro,Casa/apartamento próprio,Outro,0
5018450,0,0,0,1,0,3.0,675000.0,43.37666071171893,3.8275939957699334,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Vendas,0
5149536,0,0,0,0,0,2.0,130500.0,34.70570922058632,9.459468709145293,Servidor público,Ensino médio,Casado,Casa/apartamento próprio,Equipe principal,0
5112865,1,1,0,1,1,4.0,135000.0,37.73931018432959,4.854309123390624,Empregado,Ensino superior,Casado,Casa/apartamento próprio,Alta tecnologia,0
5046052,0,0,0,0,0,2.0,225000.0,62.550223481659444,25.29552283756682,Associado comercial,Ensino superior,Casado,Casa/apartamento próprio,Outro,0
5033586,1,1,0,0,0,3.0,90000.0,37.96929437291662,2.7214795649465766,Empregado,Ensino médio,Casado,Casa/apartamento próprio,Vendas,0
